sample	filename	condition
am1	SRR891601.htseq	a1_3
am2	SRR891602.htseq	a1_3
am3	SRR891603.htseq	a1_3
am4	SRR891604.htseq	CuLFCFe
am5	SRR891605.htseq	CuLFCFe
am6	SRR891606.htseq	CuLFCFe
am7	SRR891607.htseq	p1_4
am8	SRR891608.htseq	p1_4
am9	SRR891609.htseq	p1_4
am10	SRR891610.htseq	a1
am11	SRR891611.htseq	a1
am12	SRR891612.htseq	a1
am13	SRR891613.htseq	a2_3
am14	SRR891614.htseq	a2_3
am15	SRR891615.htseq	a2_3
am16	SRR891616.htseq	Cu
am17	SRR891617.htseq	Cu
am18	SRR891618.htseq	Cu
am19	SRR891619.htseq	LFCFe
am20	SRR891620.htseq	LFCFe
am21	SRR891621.htseq	LFCFe
am22	SRR891622.htseq	Fe
am23	SRR891623.htseq	Fe
am24	SRR891624.htseq	Fe
am25	SRR891625.htseq	p1
am26	SRR891626.htseq	p1
am27	SRR891627.htseq	p1
am28	SRR891628.htseq	p2_4
am29	SRR891629.htseq	p2_4
am30	SRR891630.htseq	p2_4
